E	#	LOSS_TOK2VEC	LOSS_NER	ENTS_F	ENTS_P	ENTS_R	SCORE
0	0	0.00	37.28	0.00	0.00	0.00	0.00
2	200	255.66	3789.54	60.14	67.76	54.07	0.60
4	400	370.43	2533.46	62.62	63.04	62.21	0.63
8	600	214.37	1938.19	68.63	68.85	68.40	0.69
12	800	190.26	1476.45	70.73	73.59	68.08	0.71
17	1000	150.82	961.95	72.48	74.74	70.36	0.72
23	1200	220.24	709.80	71.12	72.95	69.38	0.71
30	1400	164.92	520.12	71.31	70.97	71.66	0.71
39	1600	171.49	372.48	69.71	69.71	69.71	0.70
50	1800	178.39	323.19	69.54	70.71	68.40	0.70
64	2000	215.10	261.60	71.08	70.51	71.66	0.71
80	2200	202.05	208.93	71.38	70.48	72.31	0.71
101	2400	136.29	127.20	72.61	73.58	71.66	0.73
122	2600	100.59	84.93	71.08	70.51	71.66	0.71
144	2800	147.89	93.31	72.25	72.85	71.66	0.72
165	3000	246.74	111.08	69.61	69.84	69.38	0.70
186	3200	1045.85	667.46	68.87	70.03	67.75	0.69
207	3400	222.84	114.19	67.95	67.20	68.73	0.68
228	3600	942.58	402.04	72.07	73.15	71.01	0.72